Query_ID,Tipo,K_ou_Raio,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
0,kNN,5,202.88,11737,1,5
1,kNN,5,461.964,31618,1,5
2,kNN,5,795.005,50612,1,5
3,kNN,5,115.062,6109,1,5
4,kNN,5,171.962,11662,1,5
5,kNN,5,256.593,17430,1,5
6,kNN,5,144.305,10067,1,5
7,kNN,5,209.958,14413,1,5
8,kNN,5,506.44,35685,1,5
9,kNN,5,22.6565,1402,1,5
10,kNN,5,490.652,33486,1,5
11,kNN,5,60.8151,3667,1,5
12,kNN,5,76.7461,5122,1,5
13,kNN,5,158.81,10963,1,5
14,kNN,5,788.185,55935,1,5
15,kNN,5,521.116,39463,1,5
16,kNN,5,311.014,23084,1,5
17,kNN,5,524.171,36393,1,5
18,kNN,5,16.0223,1397,1,5
19,kNN,5,309.169,20398,1,5
20,kNN,5,376.839,25006,1,5
21,kNN,5,128.099,8529,1,5
22,kNN,5,68.9768,4790,1,5
23,kNN,5,156.172,11066,1,5
24,kNN,5,437.702,30400,1,5
25,kNN,5,339.401,24753,1,5
26,kNN,5,245.531,16012,1,5
27,kNN,5,210.104,14695,1,5
28,kNN,5,90.5185,6913,1,5
29,kNN,5,605.455,43183,1,5
30,kNN,5,289.845,19930,1,5
31,kNN,5,151.907,9405,1,6
32,kNN,5,398.163,27312,1,5
33,kNN,5,230.882,17007,1,5
34,kNN,5,147.448,9417,1,5
35,kNN,5,147.122,9808,1,5
36,kNN,5,479.776,34299,1,5
37,kNN,5,69.5163,5352,1,5
38,kNN,5,230.316,15571,1,5
39,kNN,5,44.7737,3361,1,5
40,kNN,5,17.7133,976,1,5
41,kNN,5,14.7131,1221,1,5
42,kNN,5,72.7479,4663,1,5
43,kNN,5,625.796,44216,1,5
44,kNN,5,126.576,8075,1,5
45,kNN,5,33.866,2277,1,5
46,kNN,5,458.495,32090,1,5
47,kNN,5,169.942,10073,1,5
48,kNN,5,27.8414,2078,1,5
49,kNN,5,59.2827,3827,1,5
50,kNN,5,43.3187,1530,1,5
51,kNN,5,247.647,17181,1,5
52,kNN,5,79.7615,3911,1,5
53,kNN,5,214.024,14933,1,5
54,kNN,5,507.419,36792,1,5
