Query_ID,Tipo,K_ou_Raio,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
0,kNN,5,31.9528,83,1,5
1,kNN,5,22.63,69,1,5
2,kNN,5,13.5777,47,1,5
3,kNN,5,23.456,69,1,5
4,kNN,5,8.2795,26,1,5
5,kNN,5,11.39,35,1,5
6,kNN,5,16.182,49,1,5
7,kNN,5,16.6105,67,1,5
8,kNN,5,10.6507,37,1,5
9,kNN,5,2.82276,12,1,5
10,kNN,5,12.3347,41,1,5
11,kNN,5,22.741,81,1,5
12,kNN,5,9.69485,40,1,5
13,kNN,5,7.50541,25,1,5
14,kNN,5,1.57693,9,1,5
15,kNN,5,16.2425,60,1,5
16,kNN,5,15.4427,56,1,5
17,kNN,5,16.4803,54,1,5
18,kNN,5,3.90802,18,1,5
19,kNN,5,21.6289,62,1,5
20,kNN,5,17.3755,59,1,5
21,kNN,5,9.1581,51,1,5
22,kNN,5,9.31777,33,1,5
23,kNN,5,7.11244,28,1,5
24,kNN,5,2.28532,17,1,5
25,kNN,5,13.5185,71,1,5
26,kNN,5,14.2315,97,1,5
27,kNN,5,11.8986,68,1,5
28,kNN,5,6.24059,47,1,5
29,kNN,5,1.54086,12,1,5
30,kNN,5,7.23103,31,1,5
31,kNN,5,14.9566,79,1,5
32,kNN,5,13.3673,49,1,5
33,kNN,5,8.96162,38,1,5
34,kNN,5,9.0716,34,1,5
35,kNN,5,12.644,53,1,5
36,kNN,5,4.67434,19,1,5
37,kNN,5,7.80485,49,1,5
38,kNN,5,19.6045,86,1,5
39,kNN,5,4.80631,26,1,5
40,kNN,5,4.35453,22,1,5
41,kNN,5,7.44189,53,1,5
42,kNN,5,10.6303,47,1,5
43,kNN,5,7.99198,39,1,5
44,kNN,5,4.42268,36,1,5
45,kNN,5,3.52662,23,1,5
46,kNN,5,5.14845,36,1,5
47,kNN,5,8.27667,45,1,5
48,kNN,5,3.99789,34,1,5
49,kNN,5,7.32752,51,1,5
50,kNN,5,12.9503,62,1,5
51,kNN,5,6.21519,37,1,5
52,kNN,5,4.06843,26,1,5
53,kNN,5,3.2296,13,1,5
54,kNN,5,3.20238,28,1,5
55,kNN,5,5.7111,46,1,5
56,kNN,5,9.53227,58,1,5
57,kNN,5,13.7221,104,1,5
58,kNN,5,3.143,32,1,5
59,kNN,5,8.10652,53,1,5
60,kNN,5,3.16529,20,1,5
61,kNN,5,10.7971,67,1,5
62,kNN,5,3.97614,20,1,5
63,kNN,5,6.77815,30,1,5
64,kNN,5,12.168,71,1,5
65,kNN,5,3.76343,30,1,5
66,kNN,5,4.74159,33,1,5
67,kNN,5,4.68096,27,1,5
68,kNN,5,2.60836,25,1,5
69,kNN,5,4.94506,47,1,5
70,kNN,5,1.64969,24,1,5
71,kNN,5,5.48803,45,1,5
72,kNN,5,7.80696,67,1,5
73,kNN,5,3.39272,37,1,5
